wrapper order,variable,filter score
1,max_count_by_address_30,0.35884197834820397
2,max_count_by_ssn_dob_7,0.22842225559594087
3,homephone_count_7,0.19439508933636396
4,zip5_count_1,0.221581422012898
5,max_count_by_homephone_3,0.2247855875641792
6,fulladdress_count_30,0.33190058957911295
7,max_count_by_fulladdress_7,0.3429847674771538
8,max_count_by_homephone_30,0.2159576187940676
9,fulladdress_day_since,0.33320122978240396
10,ssn_count_30,0.22691641710247346
11,max_count_by_address_7,0.342962181100942
12,address_day_since,0.33376601264027284
13,address_count_30,0.3322745659834031
14,max_count_by_address_3,0.32906916557302823
15,address_count_14,0.3220602255867706
16,fulladdress_count_14,0.3218888240776827
17,max_count_by_address_1,0.31495444655695226
18,RANDOM,0.011130465612774143
19,fulladdress_count_7,0.30160105623026434
20,address_count_7,0.3013579265534003
